title,link,job_description,published,companyName,companyLocation
Data Analyst,https://in.indeed.com/rc/clk?jk=82fb9bcd8b349c0a&fccid=849a996a7e062132&vjs=3,"At Iron Mountain we protect what our customers value most, from the everyday to the extraordinary, while helping them bridge the physical and digital world.…",Posted1 day ago,Iron Mountain,"Bengaluru, Karnataka"
Data Analyst-MDM,https://in.indeed.com/rc/clk?jk=4d37d38c99609729&fccid=167aa4ca2fe7d8e6&vjs=3,"
Evaluates data by interpretation, drawing practical conclusions from it and communicating data analysis results.
",PostedToday,Shell,"Bengaluru, Karnataka"
Associate Data Analyst,https://in.indeed.com/rc/clk?jk=6fb61de3f8490c42&fccid=f1582c464db8553b&vjs=3,"
Experience working with and analyzing large data sets and willingness to spend large amounts of time working with data as well as performing research.
",Posted1 day ago,Stantec,"Pune, Maharashtra"
Lead - Central Data Analyst,https://in.indeed.com/rc/clk?jk=b06b9803baa6ad95&fccid=c8e55b1b92c9854c&vjs=3,"
Collate data for Monthly Asset Review, Management Review and follow-up with stakeholders for timely updation.
Managing serviceability for last mile.
",Posted1 day ago,Flipkart,"Bengaluru, Karnataka"
"Assistant Manager - Data Analyst, Hyderabad",https://in.indeed.com/rc/clk?jk=17de46436800cb22&fccid=dd616958bd9ddc12&vjs=3,"JOB DESCRIPTION Assistant Manager - Data Analyst, Hyderabad We are an equal opportunity employer and all qualified applicants will receive consideration for…",Posted6 days ago,Star,"Hyderabad, Telangana"
Data Analyst,https://in.indeed.com/rc/clk?jk=8e9bc5f94f6f4f4e&fccid=ed7aaafb374a680d&vjs=3,"
Ownership of E2E data analysis pipeline i.e. data extraction, data cleansing, data manipulation, building final story for the business with analysis and…
",PostedToday,Redian Software,"Gurgaon, Haryana"
Environmental Data Analyst,https://in.indeed.com/rc/clk?jk=14fd82b891c11453&fccid=2ebe881d9f3fab51&vjs=3,"
2+ years of experience with carbon accounting, energy and water data analysis.
Analyze data including energy, water, and waste to support recommendations for…
",PostedToday,"Redaptive, Inc.",India
Senior Analyst - Data HM,https://in.indeed.com/rc/clk?jk=ae16b64cdb3595ba&fccid=167aa4ca2fe7d8e6&vjs=3,"
Gathers data, analyses and reports findings.
Conducts analyses to solve relatively standardized or repetitive information and data queries/problems.
",Posted2 days ago,Shell,"Chennai, Tamil Nadu"
Data Management - Analyst,https://in.indeed.com/rc/clk?jk=31aeef6beb79affc&fccid=9e215d88a6b33622&vjs=3,"
Experience manipulating and analyzing large volumes of data.
Evaluate alternative data sources for evidence of client relationships.
1-3.5 years of experience.
",Posted1 day ago,Deloitte,"Hyderabad, Telangana"
Data Analyst,https://in.indeed.com/rc/clk?jk=315e9fd9770694e3&fccid=4e42ec53f4b93e02&vjs=3,"
The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK.
",Posted2 days ago,GSK,"Bengaluru, Karnataka+1 location"
Analyst – Employee Data Management,https://in.indeed.com/rc/clk?jk=e821fc0ca8e55583&fccid=9efe0489759405d1&vjs=3,"
High process orientation and data management skills.
Conduct data quality audits across People Operations processes.
PhonePe Full Time Employee Benefits.
",Posted1 day ago,PhonePe,"Bengaluru, Karnataka"
DATA ANALYST,https://in.indeed.com/rc/clk?jk=5ae4b4ba08a36114&fccid=acd876e953badce4&vjs=3,"
Acquiring data from internal as well as secondary data sources.
Cleaning and filtering data, assessing data quality and create concise end product.
",Posted30 days ago,Galytix,"Gurgaon, Haryana"
Data Analyst - Intern (Remote/Gurgaon),https://in.indeed.com/rc/clk?jk=1c19968419f674f4&fccid=318044dbb8281914&vjs=3,"
You will be responsible for managing our master data set, developing reports, and troubleshooting data issues.
Firm grasp of SQL and Python.
",Posted1 day ago,Tealfeed,"Remote in Gurgaon, Haryana"
Analyst-Clinical Data Management (CDM),https://in.indeed.com/rc/clk?jk=690e6507ed820756&fccid=a4e4e2eaf26690c9&vjs=3,"
The team also managing clinical data management projects.
The team is responsible for performing data management activities including discrepancy review, query…
",Posted3 days ago,Accenture,"Bengaluru, Karnataka+1 location"
