job_link,job_title,company_name,city,state,posted_on,job_description,source,excel,python,ML,SQL,R_language,statistics,NLP,BI tools
https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXGIcWOIZviKUySXr1hfCvaS5huJdOK7NFGqwlhh69NjVk_OghEFwbfbWP0S0Fru2F0ZptHuMsq7OHulca9Iz-iXXhb4QwxcF20ExOTlZcXWTKW5B-Po7vDQqXL3HDDUXrrHGmWOI-4FHx7cuV_bZIhLlIXYxGIZuUr0AwNElsNHAR26YutBesHY5mqzlzmjYp7QdWnYeAcyJlskQK3KXYO0D4PESIMPY4XQnMiV5HtDS7LXnWUIKBkdbmv2D2PLBBV4X6lhx6zjrOFFgH1N_xgHGVjJnDbkMEOku72XJNtmsMl96KMg4ocqHSa_Ks-qKgdBsJCz59om8kredK1NkeNSyBeDs7NbO_kynzoWrIliRMSHo6pOR_fcpk7xxq4ZcJ7aBy0R9ue9c0jIJwQx-e9Up1RTj_wfpEexfzcC_NigCXCHsUfY9flGmLh6eWjlMz0Ev6L0k8SBhie_NQYF1q&p=0&fvj=1&vjs=3,Web Analyst,NxtWave Disruptive Technologies Private Limited,"Hyderabad, Telangana",Telangana,30+ days ago,"Processing confidential  and information according to guidelines.,data,Advanced  visualization skills using tools like  Studio.,data,Data",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/NORWOOD-INN-&-SUITES/jobs/Book-Keeping-Data-Analyst-341a6372a868cf91?fccid=7079c8cc1176d0fa&vjs=3,Book-keeping and Data Analyst,NORWOOD INN & SUITES,"Remote in Surat, Gujarat",Gujarat,Today,"Must have worked in office,  analyzing or accounting environment, with skills of office organizer,   or account assistant.,data,data,analyst,missing",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/Smart-Moves/jobs/Data-Analyst-4f80790a2839fcf1?fccid=72b6f6fd83e13301&vjs=3,Data Analyst,Smart Moves,"Chennai, Tamil Nadu",Tamil Nadu,Active 21 days ago,"4.Other Financial related activities.,Total work: 1 year (Preferred).,missing,missing,missing",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/rc/clk?jk=1c19968419f674f4&fccid=318044dbb8281914&vjs=3,Data Analyst - Intern (Remote/Gurgaon),Tealfeed,"Remote in Gurgaon, Haryana",Haryana,5 days ago,"You will be responsible for managing our master  set, developing reports, and troubleshooting  issues.,data,data,Firm grasp of SQL and Python.,missing",Indeed,0,0,0,1,0,0,0,0
https://in.indeed.com/company/Fluidonomics-Solutions-LLP/jobs/Data-Research-Analyst-cdf18bfa72c72443?fccid=cab3f8c3740a190d&vjs=3,Data Research Analyst,Fluidonomics Solutions LLP,"Pune, Maharashtra",Maharashtra,4 days ago,"1+ years’ work experience with proven knowledge of working on  Analysis/  Research projects.,Data,Data,To work on  Research projects assigned, in given time…,Data",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/HowToAbroad/jobs/Data-Analyst-Entry-742c29da4d4abb32?fccid=e5f4fb67903f62a7&vjs=3,Data Analyst and Entry - Internship,HowToAbroad,Remote,Remote,Hiring ongoing,"Ensuring  quality and format.,data,Performing a thorough quality check on the data.,Researching universities abroad and organizing facts about them.,missing",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/Wyzmindz-solutions-pvt-ltd/jobs/Data-Analyst-6e71d56f6048ff79?fccid=95871ee5dd63bf9a&vjs=3,Data Analyst,Wyzmindz solutions pvt ltd,"Bengaluru, Karnataka",Karnataka,Active 8 days ago,"*Understand, analyze and interpret *, and have a passion for *data accuracy and detailing*.,data,WyzMindz offers tailored software products in analytics for…,missing,missing",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/Firstcry/jobs/Data-Analyst-85c23bb1f682541c?fccid=36aba3d665a1c1cc&vjs=3,Data Analyst,FirstCry.com,"Pune, Maharashtra",Maharashtra,Active 2 days ago,"Providing technical expertise on  storage structures,  mining, and  cleansing.,data,data,data,To do well in this role you need a very fine eye for detail,…",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/Client-of-Sanumas-Solutions/jobs/Data-Analyst-5c45a87b42adc428?fccid=179aeb5defc77e1b&vjs=3,Data Analyst - SQL,Client of SANUMAS Solutions,"Coimbatore, Tamil Nadu",Tamil Nadu,Active 3 days ago,"Perform  analysis for  integrity,  cleansing & normalization of data.,data,data,data,Collect  from multiple sources and add it to the database,  Cleaning…",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/Quarks-Technosoft/jobs/Data-Analyst-2da2f31c0ad28d3b?fccid=81b5de9b31bbedb7&vjs=3,Data Analyst,Quarks Technosoft,"Bengaluru, Karnataka",Karnataka,Active 15 days ago,"Design and develop complex  queries to move and transform  from operational  sources to analytical databases.,data,data,data,Understanding of macros is beneficial.",Indeed,1,0,0,0,0,0,0,0
https://in.indeed.com/rc/clk?jk=a9f8673ae9376928&fccid=dcb5515af8bda745&vjs=3,Data Visualization,RADcube,"Hyderabad, Telangana",Telangana,30+ days ago,"Work with  scientists and  engineers to understand and organize the  for  consumption.,data,data,data,data",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/Sachdev-Capital/jobs/Clinical-Statistical-Data-Analyst-c666cedcc48a61d4?fccid=e44e04755dc6192c&vjs=3,Clinical Statistical Data Analyst,MS Clinical Research (P) Ltd,"Remote in Bengaluru, Karnataka",Karnataka,Today,"To work as a clinical  analyst,good knowledge in Excel and 'R' software is a must..,data,In addition, internship experience of collecting, compiling, and…,missing,missing",Indeed,1,0,0,0,0,0,0,0
https://in.indeed.com/company/SBT-Research/jobs/Research-Analyst-Cdqa-2ff03dcc4ac3de84?fccid=6db60d462f27f47e&vjs=3,Research Analyst-CDQA,SBT Research Pvt Ltd,"Pune, Maharashtra",Maharashtra,Active 5 days ago,"Research  will be responsible for Fetching the  from.,Analyst,data,Ensure the quality of the  is Upto the Mark.,data",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/RBHU-ETG-Private-Limited/jobs/Data-Analyst-ebabe7a5706b11eb?fccid=20f3451d17d09a1c&vjs=3,Data Analyst - Graduate Engineer Trainee,RBHU ETG Private Limited,"Navi Mumbai, Maharashtra",Maharashtra,Active 3 days ago,"Create  governance policies like RLS to manage  security.,data,data,Python/R for  science.,data",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/Nextdoor-Kitchens/jobs/Data-Analyst-f4defe86903e5ee1?fccid=d94bc35fa12f0c20&vjs=3,Data Analyst,Nextdoor Kitchens,"New Town, Kolkata, West Bengal",West Bengal,7 days ago,"Developing and maintaining databases,  systems – reorganizing  in a readable format.,data,data,Performing analysis to assess quality and meaning of data.,missing",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/Credible-Markets/jobs/Research-Analyst-959ff326cc79ae20?fccid=b125161ea8826a7b&vjs=3,Research Analyst,Credible Markets,"Pune, Maharashtra",Maharashtra,Active 3 days ago,"Conducting detailed qualitative and quantitative research to collect, analyze and report project-relevant  to derive meaningful/ actionable insights.,data,missing,missing,missing",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/Finquest/jobs/Research-Analyst-29189f761541a441?fccid=bed36d00e772c402&vjs=3,Research Analyst,Finquest,"Bengaluru, Karnataka",Karnataka,Active 14 days ago,"Sorting and organizing  and making them easily accessible for decision-making.,data,Analyzing the types of data/information needed to be collected to serve…,missing,missing",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/M.s.kothari-&-associates/jobs/Risk-Analyst-b48c735e9e22c393?fccid=aa8795ce379959ae&vjs=3,Risk Analyst,M.s.kothari & associates,"Mumbai, Maharashtra",Maharashtra,2 days ago,"Qualification: MBA, CA Inter, CA, or any related diploma in credit/risk management.,Total work: 2 years (Preferred).,missing,missing,missing",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/RealtyAI/jobs/Data-Analyst-01b5f5782195116f?fccid=edf4facef7bb6c6e&vjs=3,Data Analyst,RealtyAI,"Remote in Gurgaon, Haryana",Haryana,Active 19 days ago,"Coordinate with the larger team (10+) of  , developers, and designers.,data,analysts,A consistent track record of performing  analysis using Python.,data",Indeed,0,0,0,0,0,0,0,0
